x,y,u
1.1951219512,0.5173952057,0.0004703103
1.1951219512,0.5863812332,0.0004384159
1.1951219512,0.6553672606,0.0004033339
1.1951219512,0.7243532880,0.0003665643
1.1951219512,0.7933393155,0.0003290389
1.1951219512,0.8623253429,0.0002913213
1.1951219512,0.9313113703,0.0002537383
1.1951219512,1.0002973978,0.0002164653
1.1951219512,1.0692834252,0.0001795790
1.1951219512,1.1382694526,0.0001430901
1.1951219512,1.2072554801,0.0001069640
1.1951219512,1.2762415075,0.0000711342
1.1951219512,1.3452275349,0.0000355133
1.2439024390,-1.3452275349,0.0000442930
1.2439024390,-1.2762415075,0.0000887269
1.2439024390,-1.2072554801,0.0001334348
1.2439024390,-1.1382694526,0.0001785343
1.2439024390,-1.0692834252,0.0002241184
1.2439024390,-1.0002973978,0.0002702445
1.2439024390,-0.9313113703,0.0003169204
1.2439024390,-0.8623253429,0.0003640833
1.2439024390,-0.7933393155,0.0004115666
1.2439024390,-0.7243532880,0.0004590436
1.2439024390,-0.6553672606,0.0005059325
1.2439024390,-0.5863812332,0.0005512404
1.2439024390,-0.5173952057,0.0005932892
1.2439024390,-0.4484091783,0.0006290307
1.2439024390,-0.3794231509,0.0006505860
1.2439024390,-0.3104371234,0.0149912879
1.2439024390,-0.2414510960,0.0305067417
1.2439024390,-0.1724650686,0.0434068897
1.2439024390,-0.1034790411,0.0525349341
1.2439024390,-0.0344930137,0.0572702314
1.2439024390,0.0344930137,0.0572702314
1.2439024390,0.1034790411,0.0525349341
1.2439024390,0.1724650686,0.0434068897
1.2439024390,0.2414510960,0.0305067417
1.2439024390,0.3104371234,0.0149912879
1.2439024390,0.3794231509,0.0006505860
1.2439024390,0.4484091783,0.0006290307
1.2439024390,0.5173952057,0.0005932892
1.2439024390,0.5863812332,0.0005512404
1.2439024390,0.6553672606,0.0005059325
1.2439024390,0.7243532880,0.0004590436
1.2439024390,0.7933393155,0.0004115666
1.2439024390,0.8623253429,0.0003640833
1.2439024390,0.9313113703,0.0003169204
1.2439024390,1.0002973978,0.0002702445
1.2439024390,1.0692834252,0.0002241184
1.2439024390,1.1382694526,0.0001785343
1.2439024390,1.2072554801,0.0001334348
1.2439024390,1.2762415075,0.0000887269
1.2439024390,1.3452275349,0.0000442930
1.2926829268,-1.3452275349,0.0000530023
1.2926829268,-1.2762415075,0.0001061825
1.2926829268,-1.2072554801,0.0001597098
1.2926829268,-1.1382694526,0.0002137362
1.2926829268,-1.0692834252,0.0002683867
1.2926829268,-1.0002973978,0.0003237487
1.2926829268,-0.9313113703,0.0003798589
1.2926829268,-0.8623253429,0.0004366851
1.2926829268,-0.7933393155,0.0004940975
1.2926829268,-0.7243532880,0.0005518168
1.2926829268,-0.6553672606,0.0006093217
1.2926829268,-0.5863812332,0.0006656943
1.2926829268,-0.5173952057,0.0007194219
1.2926829268,-0.4484091783,0.0007684612
1.2926829268,-0.3794231509,0.0009379527
1.2926829268,-0.3104371234,0.0264664553
1.2926829268,-0.2414510960,0.0437762612
1.2926829268,-0.1724650686,0.0567073653
1.2926829268,-0.1034790411,0.0655254600
1.2926829268,-0.0344930137,0.0700213315
1.2926829268,0.0344930137,0.0700213315
1.2926829268,0.1034790411,0.0655254600
1.2926829268,0.1724650686,0.0567073653
1.2926829268,0.2414510960,0.0437762612
1.2926829268,0.3104371234,0.0264664553
1.2926829268,0.3794231509,0.0009379527
1.2926829268,0.4484091783,0.0007684612
1.2926829268,0.5173952057,0.0007194219
1.2926829268,0.5863812332,0.0006656943
1.2926829268,0.6553672606,0.0006093217
1.2926829268,0.7243532880,0.0005518168
1.2926829268,0.7933393155,0.0004940975
1.2926829268,0.8623253429,0.0004366851
1.2926829268,0.9313113703,0.0003798589
1.2926829268,1.0002973978,0.0003237487
1.2926829268,1.0692834252,0.0002683867
1.2926829268,1.1382694526,0.0002137362
1.2926829268,1.2072554801,0.0001597098
1.2926829268,1.2762415075,0.0001061825
1.2926829268,1.3452275349,0.0000530023
1.3414634146,-1.3452275349,0.0000616227
1.3414634146,-1.2762415075,0.0001234645
1.3414634146,-1.2072554801,0.0001857353
1.3414634146,-1.1382694526,0.0002486260
1.3414634146,-1.0692834252,0.0003122993
1.3414634146,-1.0002973978,0.0003768789
1.3414634146,-0.9313113703,0.0004424395
1.3414634146,-0.8623253429,0.0005089939
1.3414634146,-0.7933393155,0.0005764748
1.3414634146,-0.7243532880,0.0006446974
1.3414634146,-0.6553672606,0.0007132769
1.3414634146,-0.5863812332,0.0007814708
1.3414634146,-0.5173952057,0.0008478988
1.3414634146,-0.4484091783,0.0009093901
1.3414634146,-0.3794231509,0.0181145662
1.3414634146,-0.3104371234,0.0396714352
1.3414634146,-0.2414510960,0.0568555955
1.3414634146,-0.1724650686,0.0696848095
1.3414634146,-0.1034790411,0.0782975616
1.3414634146,-0.0344930137,0.0826408314
1.3414634146,0.0344930137,0.0826408314
1.3414634146,0.1034790411,0.0782975616
1.3414634146,0.1724650686,0.0696848095
1.3414634146,0.2414510960,0.0568555955
1.3414634146,0.3104371234,0.0396714352
1.3414634146,0.3794231509,0.0181145662
1.3414634146,0.4484091783,0.0009093901
1.3414634146,0.5173952057,0.0008478988
1.3414634146,0.5863812332,0.0007814708
1.3414634146,0.6553672606,0.0007132769
1.3414634146,0.7243532880,0.0006446974
1.3414634146,0.7933393155,0.0005764748
1.3414634146,0.8623253429,0.0005089939
1.3414634146,0.9313113703,0.0004424395
1.3414634146,1.0002973978,0.0003768789
1.3414634146,1.0692834252,0.0003122993
1.3414634146,1.1382694526,0.0002486260
1.3414634146,1.2072554801,0.0001857353
1.3414634146,1.2762415075,0.0001234645
1.3414634146,1.3452275349,0.0000616227
1.3902439024,-1.3452275349,0.0000701336
1.3902439024,-1.2762415075,0.0001405321
1.3902439024,-1.2072554801,0.0002114508
1.3902439024,-1.1382694526,0.0002831246
1.3902439024,-1.0692834252,0.0003557587
1.3902439024,-1.0002973978,0.0004295187
1.3902439024,-0.9313113703,0.0005045231
1.3902439024,-0.8623253429,0.0005808393
1.3902439024,-0.7933393155,0.0006584814
1.3902439024,-0.7243532880,0.0007373995
1.3902439024,-0.6553672606,0.0008174249
1.3902439024,-0.5863812332,0.0008981302
1.3902439024,-0.5173952057,0.0009788439
1.3902439024,-0.4484091783,0.0012751822
1.3902439024,-0.3794231509,0.0307357973
1.3902439024,-0.3104371234,0.0526832335
1.3902439024,-0.2414510960,0.0697328669
1.3902439024,-0.1724650686,0.0823909486
1.3902439024,-0.1034790411,0.0908248683
1.3902439024,-0.0344930137,0.0950524301
1.3902439024,0.0344930137,0.0950524301
1.3902439024,0.1034790411,0.0908248683
1.3902439024,0.1724650686,0.0823909486
1.3902439024,0.2414510960,0.0697328669
1.3902439024,0.3104371234,0.0526832335
1.3902439024,0.3794231509,0.0307357973
1.3902439024,0.4484091783,0.0012751822
1.3902439024,0.5173952057,0.0009788439
1.3902439024,0.5863812332,0.0008981302
1.3902439024,0.6553672606,0.0008174249
1.3902439024,0.7243532880,0.0007373995
1.3902439024,0.7933393155,0.0006584814
1.3902439024,0.8623253429,0.0005808393
1.3902439024,0.9313113703,0.0005045231
1.3902439024,1.0002973978,0.0004295187
1.3902439024,1.0692834252,0.0003557587
1.3902439024,1.1382694526,0.0002831246
1.3902439024,1.2072554801,0.0002114508
1.3902439024,1.2762415075,0.0001405321
1.3902439024,1.3452275349,0.0000701336
1.4390243902,-1.3452275349,0.0000785119
1.4390243902,-1.2762415075,0.0001573397
1.4390243902,-1.2072554801,0.0002367887
1.4390243902,-1.1382694526,0.0003171431
1.4390243902,-1.0692834252,0.0003986551
1.4390243902,-1.0002973978,0.0004815361
1.4390243902,-0.9313113703,0.0005659508
1.4390243902,-0.8623253429,0.0006520217
1.4390243902,-0.7933393155,0.0007398500
1.4390243902,-0.7243532880,0.0008295480
1.4390243902,-0.6553672606,0.0009212329
1.4390243902,-0.5863812332,0.0010147853
1.4390243902,-0.5173952057,0.0011072168
1.4390243902,-0.4484091783,0.0199765250
1.4390243902,-0.3794231509,0.0447340819
1.4390243902,-0.3104371234,0.0657643972
1.4390243902,-0.2414510960,0.0824263782
1.4390243902,-0.1724650686,0.0948296329
1.4390243902,-0.1034790411,0.1030758178
1.4390243902,-0.0344930137,0.1071982738
1.4390243902,0.0344930137,0.1071982738
1.4390243902,0.1034790411,0.1030758178
1.4390243902,0.1724650686,0.0948296329
1.4390243902,0.2414510960,0.0824263782
1.4390243902,0.3104371234,0.0657643972
1.4390243902,0.3794231509,0.0447340819
1.4390243902,0.4484091783,0.0199765250
1.4390243902,0.5173952057,0.0011072168
1.4390243902,0.5863812332,0.0010147853
1.4390243902,0.6553672606,0.0009212329
1.4390243902,0.7243532880,0.0008295480
1.4390243902,0.7933393155,0.0007398500
1.4390243902,0.8623253429,0.0006520217
1.4390243902,0.9313113703,0.0005659508
1.4390243902,1.0002973978,0.0004815361
1.4390243902,1.0692834252,0.0003986551
1.4390243902,1.1382694526,0.0003171431
1.4390243902,1.2072554801,0.0002367887
1.4390243902,1.2762415075,0.0001573397
1.4390243902,1.3452275349,0.0000785119
1.4878048780,-1.3452275349,0.0000867323
1.4878048780,-1.2762415075,0.0001738366
1.4878048780,-1.2072554801,0.0002616739
1.4878048780,-1.1382694526,0.0003505827
1.4878048780,-1.0692834252,0.0004408671
1.4878048780,-1.0002973978,0.0005327868
1.4878048780,-0.9313113703,0.0006265505
1.4878048780,-0.8623253429,0.0007223255
1.4878048780,-0.7933393155,0.0008202837
1.4878048780,-0.7243532880,0.0009207030
1.4878048780,-0.6553672606,0.0010241071
1.4878048780,-0.5863812332,0.0011320010
1.4878048780,-0.5173952057,0.0014608901
1.4878048780,-0.4484091783,0.0333542074
1.4878048780,-0.3794231509,0.0582164512
1.4878048780,-0.3104371234,0.0786501920
1.4878048780,-0.2414510960,0.0948697168
1.4878048780,-0.1724650686,0.1069673160
1.4878048780,-0.1034790411,0.1150090960
1.4878048780,-0.0344930137,0.1190258094
1.4878048780,0.0344930137,0.1190258094
1.4878048780,0.1034790411,0.1150090960
1.4878048780,0.1724650686,0.1069673160
1.4878048780,0.2414510960,0.0948697168
1.4878048780,0.3104371234,0.0786501920
1.4878048780,0.3794231509,0.0582164512
1.4878048780,0.4484091783,0.0333542074
1.4878048780,0.5173952057,0.0014608901
1.4878048780,0.5863812332,0.0011320010
1.4878048780,0.6553672606,0.0010241071
1.4878048780,0.7243532880,0.0009207030
1.4878048780,0.7933393155,0.0008202837
1.4878048780,0.8623253429,0.0007223255
1.4878048780,0.9313113703,0.0006265505
1.4878048780,1.0002973978,0.0005327868
1.4878048780,1.0692834252,0.0004408671
1.4878048780,1.1382694526,0.0003505827
